ID,캐릭터이름,대사,
74,,@안녕하세요. 제가 눈을 떠보니 갑자기 이런 곳이었는데 혹시 여기가 어딘지 알 수 있을까요?@,중년 여성 대화 1
75,중년여성,@......@,
76,,@저.. 저기요.@,
77,,당신이 말을 걸고 있음에도 그녀는 전혀 반응이 없습니다.,
78,,@저기요. 음...@,중년 여성 대화 2
79,,대화를 걸려다 당신은 한가지 사실을 알게 됩니다.,
80,,그녀는 당신의 말에 반응이 없는 정도가 아니라 미동 조차 없는 상태입니다.,
81,,눈꺼풀 조차 떨리지 않습니다.,
82,,뭐야... 기분나쁘게',
83,,@어떻게 된거야..!? 분명 방금 전까지만 해도...@,자살 이후 살펴보기 1
84,,언뜻 보아도 그녀가 절명 해 있다는 것은 알 수 있습니다.,
85,,@뭐야... 뭐냐구 도대체..! 내가 무슨 잘 못을 했다고 이딴 곳에..!@,자살 이후 살펴보기 2
86,,뭐라고 열변을 토해봐도 그녀는 조금씩 흔들릴 뿐입니다.,
87,,@젠장...@,
88,,이상하리만치 단단해 보이는 꽃병이다.☆①,꽃병 살펴보기
89,,시들어 가는 꽃이 꽂혀있다.☆①,꽃병 살펴보기
90,,굉음을 내며 꽃병이 산산조각 났다.,
91,,꽃병이 바닥에 깨져 꽃이 널부러졌다.,꽃병 부수기 성공
92,,@어라..? 이상하다.@,꽃병 부수기 실패
93,,분명이 강하게 꽃병을 내려쳤다고 생각 했지만 아무런 반응이 없다.,
94,,@으악..!@,꽃병 부수기 대실패
95,,꽃병을 내려치다 오히려 손이 다치고 말았다.,
96,,꽃병 안에는 아무것도 없었다.,꽃병 살펴보기 대성공
97,,꽃 이외에 아무것도 찾을 수 없었다.,꽃병 살펴보기 성공
98,,어두워서 그런지 정확하게 파악 할 수 없었다.,꽃병 살표보기 실패
99,,어두운 상태에서 조그만 구멍을 뚫어져라 살펴봤더니 눈이 피로해졌다.,꽃병 살표보기대시
100,,한 손에 단도를 들고 있는 젊은 여성이다.☆④,소녀 살펴보기1
101,,그녀의 상태는 한눈에 보기에도 심각해 보인다.☆④,소녀 살펴보기2
102,,시선과 호흡이 아주 불안정 해 보인다. 가늘게 손도 떨리고 있다.☆④,소녀 살펴보기3
103,,@저기...@,소녀 대화 1
104,,@......@,
105,,@여쭤 보고싶@,
106,,그 물음이 체 끝나기도 전에 그녀는 입을 엽니다.,
107,젊은여성,@...세개의 변변찮은 감옥과^ 다섯개의 영원치 않은 죄수.@ ,
108,젊은여성,@그리고 머지 않아 마를 희망. 그 속에 해답이 있다.@,
109,,@...네?@,
110,,입을 채 열기도 전에 그녀가 말합니다.,소녀 대화 2---
111,젊은여성,@...세개의 변변찮은 감옥과^ 다섯개의 영원치 않은 죄수.@ ,
112,젊은여성,@그리고 머지 않아 마를 희망. 그 속에 해답이 있다.@,
113,,@....@,
114,,많이 해봐야 10대 후반으로 보이는 아이다.☆④,살펴보기1
115,,조용히 복도벽에 기대 서 있는 아이다.☆④,살펴보기2
116,어린남성,@건네줄게 있나요?@,대화1
117,어린남성,@건네 줄 물건이 없으신가요?@,대화2
118,어린남성,@좋아요. 다른건 없나요?,옳게 건내줬을때1
119,어린남성,@또 다른건요?@,2
120,어린남성,@완벽하네요. 그렇다면 추천 해 주실 물건은요?@,3 - 즉시선택
121,어린남성,@그건 필요 없을것 같네요.@,선택 틀리면
122,,검은색 불이 불타고 있는 벽난로다.☆⑤,벽난로
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
