ID,캐릭터이름,대사,
34,Swain,@Did they have a good marriage?@,
35,Swain,@As far as I know^ yes. At least I'm told they haven't had any major fights so far.@,
36,Fabian,@What can you tell us about ⓖ(Mr. Aiden)ⓦ?@,엘라트리스 - 의뢰대상
37,Swain,@He's always been full of vitality. There hasn't been any change in him since the first time he came in until now.@,
38,Swain,@If being too passionate is a flaw^ it's a flaw. So he got hurt once in a while and his wife was very worried every time.@,
39,Swain,@I can't believe it ended up like this... I hope he recovers soon.@,
40,Fabian,@I've been hired to find out why^ and I'm sure I will.@,
41,Swain,@Of course you do^ because that's why they paid you to do.@,
42,Fabian,@How long have you been with this newspaper?@,신문사 - 남편의 직장
43,Swain,@It's about 30 years now.@,
44,Fabian,@What do you think^ has anything special happened in Arkham lately?@,
45,Fabian,@It's unnaturally quiet to me.@,
46,Swain,@Hmmm... I'm not sure if this is a hunch or a shot.@,
47,Fabian,@What do you mean?@,
48,Swain,@Yeah^ well^ you might be able to help me. And no one would believe you if you told them.@,
49,Fabian,'This guy... clearly had a bad run-in with a detective.',
50,Swain,@What I'm about to do is something that very few people in Arkham know about^ you know what I mean?@,
51,Fabian,@You're telling me to watch my mouth.@,
52,Swain,@It's good that you understand quickly. Anyway... to get down to business^ there's something special going on in Arkham lately.@,
53,Swain,@There's been a recent spate of ⓡ(●1ⓜmissing people)ⓦ in Arkham. I've been investigating undercover for an exclusive story.@,
54,Fabian,@ⓡ(Missing people)ⓦ? I didn't hear anything in particular.@,
55,Fabian,@If it's a missing person's case^ shouldn't tell people about it so they can find it?@,
56,Swain,@That's true^ but I think the police have a different view.@,
57,Swain,@So far^ six people have been confirmed missing^ ranging from office workers to bigwigs.@,
58,Swain,@The cause is unknown^ and not like they left something and disappeared...@,
59,Swain,@It's continuous^ but it doesn't seem like there's a cause-and-effect relationship between these people.@,
60,Swain,@What's clear is that people are continuing to disappear^ and it's not just any disappearance.@,
61,Fabian,@I see^ thanks for the information.@,
62,Swain,@No^ don't thank me. You have your own sources.  Maybe you'll find something relevant in your investigation of ⓖ(Aiden)ⓦ.@,
63,Swain,@Then give that information back to me as well.@,
64,Swain,@You get something you didn't know^ and I get dangerous information safely. It's a give and take.@,
65,Fabian,@Okay^ we'll pass along any related stories as I Get to know.@,
66,Swain,@Yes^ that's good.@,
67,Fabian,'While his demeanor pisses me off^ this is definitely good information.',
68,Fabian,'Maybe if I ask ⓖ(Albert)ⓦor ⓖ(Maeve)ⓦ^ I can get some more information.',
69,Swain,@Well^ beyond that^ I don't know.@,그 외 키워드
70,Swain,@Shhh! Don't say that out loud! Are you going to ruin anything!?@,//저녁 연속실종사건 - 알버트
71,Fabian,@I think your voice is louder now...@,
72,Swain,@...Hmm do me a favor and let me know if you get any more information about the string of ⓡ(missing people)ⓦ.@,
73,Swain,@I'll make sure you get paid. I'm doing an undercover story on it right now.@,
74,Fabian,@Okay^ so if ⓖ(Mr. Swain)ⓦ gets any new information^ please let me know too.@,
75,Swain,@Let's do that.@,
76,Fabian,(His face brightens the most so far.),
77,Swain,@Hmm? What do you mean.@,// 비릿한냄새
78,Fabian,(He doesn't seem very interested in this topic.),
79,Swain,@Oh^ I've heard that one before. A pet alligator lives in the sewer?@,하수도의 이상한 괴담()
80,Swain,@I wondered the same thing^ so I asked an acquaintance of mine^ and he told me that it's actually not possible.@,
81,Swain,@If it was there in the first place^ the city would have taken care of it.@,
82,Swain,@...Who am I kidding?@,섬뜩한 눈 키워드
83,Fabian,(He frowned at me as if I were lying.),
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
